"SFO","PT ","PC28  ","11/13/2017","11/22/2017","11/28/2017","18","RQ"
"SFO","T  ","C28   ","11/13/2017","11/29/2017","12/05/2017","18","FS"
"SFO","PT ","PC28  ","11/13/2017","11/29/2017","12/05/2017","18","RQ"
"SFO","T  ","C28   ","11/13/2017","12/06/2017","12/12/2017","18","FS"
"SFO","PT ","PC28  ","11/13/2017","12/06/2017","12/12/2017","18","RQ"
"SFO","T  ","C28   ","11/13/2017","12/13/2017","12/19/2017","18","FS"
"SFO","PT ","PC28  ","11/13/2017","12/13/2017","12/19/2017","18","RQ"
"SFO","T  ","C28   ","11/13/2017","12/20/2017","12/26/2017","18","FS"
"SFO","PT ","PC28  ","11/13/2017","12/20/2017","12/26/2017","18","RQ"
"SFO","D  ","C25   ","11/13/2017","11/08/2017","11/14/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","11/08/2017","11/14/2017","17","RQ"
"SFO","D  ","C25   ","11/13/2017","11/15/2017","11/21/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","11/15/2017","11/21/2017","17","RQ"
"SFO","D  ","C25   ","11/13/2017","11/22/2017","11/28/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","11/22/2017","11/28/2017","17","RQ"
"SFO","D  ","C25   ","11/13/2017","11/29/2017","12/05/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","11/29/2017","12/05/2017","17","RQ"
"SFO","D  ","C25   ","11/13/2017","12/06/2017","12/12/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","12/06/2017","12/12/2017","17","RQ"
"SFO","D  ","C25   ","11/13/2017","12/13/2017","12/19/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","12/13/2017","12/19/2017","17","RQ"
"SFO","D  ","C25   ","11/13/2017","12/20/2017","12/26/2017","17","FS"
"SFO","PD ","PC25  ","11/13/2017","12/20/2017","12/26/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","11/08/2017","11/14/2017","17","FS"
"SFO","PC ","PC22  ","11/13/2017","11/08/2017","11/14/2017","17","RQ"
"SFO","C  ","C22   ","11/13/2017","11/15/2017","11/21/2017","17","FS"
